episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,lane_3_time,speed_violation_count,tailgating_violation_count,braking_violation_count,lane_keeping_violation_count,lane_change_tailgating_violation_count,lane_change_braking_violation_count,collision_violation_count,lane_change_collision_violation_count,total_cost,total_avoided_cost,total_reward,unsafe_frames,unsafe_slow_count,unsafe_lane_left_count,unsafe_lane_right_count,unsafe_faster_count,unsafe_idle_count,unsafe_ttc_frames,unsafe_ttc_slow_count,unsafe_ttc_lane_left_count,unsafe_ttc_lane_right_count,unsafe_ttc_faster_count,unsafe_ttc_idle_count,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_scps_augmented_count,outcome_projection_count
44,1,cautious,nop,nan,30,0,29.798981664924852,8.0,22.0,0.0,0.0,30,0,1,30,1,1,0,0,63.0,0.0,11.758777997909814,1,0,0,1,0,0,5,0,2,2,0,1,nan,0.0,0,0,0,0
45,1,cautious,nop,nan,30,0,29.798981664924852,10.0,20.0,0.0,0.0,30,0,1,30,2,1,0,1,64.0,0.0,11.758777997909814,1,0,1,0,0,0,4,0,1,2,1,0,nan,0.0,0,0,0,0
46,1,cautious,nop,nan,30,0,29.798981664924852,10.0,12.0,8.0,0.0,30,0,3,21,1,0,0,0,55.0,0.0,11.758777997909814,2,0,2,0,0,0,8,0,3,3,0,2,nan,0.0,0,0,0,0
47,1,cautious,nop,nan,2,1,27.072779413434652,2.0,0.0,0.0,0.0,2,1,2,2,0,0,1,0,7.0,0.0,-0.43417764692522787,1,0,1,0,0,0,1,0,1,0,0,0,nan,0.0,0,0,0,0
48,1,cautious,nop,nan,30,0,29.798981664924852,15.0,5.0,7.0,3.0,30,0,2,19,0,0,0,0,51.0,0.0,11.758777997909814,2,0,0,2,0,0,6,0,1,3,1,1,nan,0.0,0,0,0,0
49,1,cautious,nop,nan,30,0,29.798981664924852,0.0,8.0,18.0,4.0,30,0,2,8,1,0,0,0,41.0,0.0,11.758777997909814,2,0,2,0,0,0,5,0,2,1,0,2,nan,0.0,0,0,0,0
50,1,cautious,nop,nan,30,0,29.798981664924852,4.0,8.0,2.0,16.0,30,0,1,12,1,0,0,0,44.0,0.0,11.758777997909814,1,0,0,1,0,0,3,0,1,1,1,0,nan,0.0,0,0,0,0
51,1,cautious,nop,nan,30,0,29.798981664924852,8.0,13.0,7.0,2.0,30,1,5,22,1,2,0,1,61.0,0.0,11.758777997909814,4,0,2,1,1,0,12,0,5,3,2,2,nan,0.0,0,0,0,0
52,1,cautious,nop,nan,30,0,29.798981664924852,21.0,5.0,4.0,0.0,30,0,2,26,0,0,0,0,58.0,0.0,11.758777997909814,2,0,1,1,0,0,6,0,2,3,0,1,nan,0.0,0,0,0,0
53,1,cautious,nop,nan,30,0,29.660796370695877,5.0,9.0,8.0,8.0,28,0,5,14,1,0,0,0,48.0,0.0,11.592955644835042,1,0,0,1,0,0,11,1,4,2,1,3,nan,0.0,0,0,0,0
54,1,cautious,nop,nan,30,0,29.798981664924852,6.0,2.0,3.0,19.0,30,0,3,9,1,0,0,0,43.0,0.0,11.758777997909814,2,0,1,1,0,0,5,0,2,2,0,1,nan,0.0,0,0,0,0
55,1,cautious,nop,nan,5,1,28.794065760757547,5.0,0.0,0.0,0.0,5,1,3,5,0,0,1,0,14.0,0.0,0.75881315215151,1,0,1,0,0,0,3,0,1,0,2,0,nan,0.0,0,0,0,0
56,1,cautious,nop,nan,30,0,29.798981664924852,7.0,7.0,10.0,6.0,30,0,1,13,1,0,0,0,45.0,0.0,11.758777997909814,1,0,1,0,0,0,5,0,2,2,1,0,nan,0.0,0,0,0,0
57,1,cautious,nop,nan,30,0,29.798981664924852,0.0,4.0,16.0,10.0,30,0,3,4,2,0,0,0,39.0,0.0,11.758777997909814,0,0,0,0,0,0,9,0,3,3,0,3,nan,0.0,0,0,0,0
