episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
56,1,right_lane,adaptive,True,3.1623,40,0,21.143957345945747,1.0,1.0,38.0,0.5,7.0,61.37839717644364,41.62839717644364,19.75,nan,0.0,0,0,0,40
57,1,right_lane,adaptive,True,3.1623,40,0,20.75249644062177,0.0,1.0,39.0,0.0,1.0,61.003060219217346,41.003060219217346,20.0,nan,0.0,0,0,0,40
58,1,right_lane,adaptive,True,3.1623,40,0,20.393957345971565,0.0,0.0,40.0,0.0,0.0,60.45320089613101,40.45320089613101,20.0,nan,0.0,0,0,0,40
59,1,right_lane,adaptive,True,3.1623,40,0,21.516504195735575,1.0,1.0,38.0,0.5,7.0,61.974472136107366,42.224472136107366,19.75,nan,0.0,0,0,0,40
60,1,right_lane,adaptive,True,3.1623,40,0,21.643957345971565,0.0,1.0,39.0,0.0,0.5,62.43280649231849,42.43280649231849,20.0,nan,0.0,0,0,0,40
61,1,right_lane,adaptive,True,3.1623,40,0,20.768957345971565,0.0,1.0,39.0,0.0,5.0,61.02939651471896,41.029396514718954,20.0,nan,0.0,0,0,0,40
62,1,right_lane,adaptive,True,3.1623,40,0,22.268957345971565,1.0,1.0,38.0,0.5,4.5,63.17839840434078,43.42839840434078,19.75,nan,0.0,0,0,0,40
63,1,right_lane,adaptive,True,3.1623,40,0,21.143957345971565,1.0,1.0,38.0,0.5,4.0,61.378397181179565,41.62839718117957,19.75,nan,0.0,0,0,0,40
64,1,right_lane,adaptive,True,3.1623,40,0,21.643957345971565,0.0,4.0,36.0,2.0,4.5,61.42964007375824,42.42964007375824,19.0,18.0,0.075,0,0,3,37
65,1,right_lane,adaptive,True,3.1623,40,0,24.01641846286567,0.0,4.0,36.0,1.5,9.5,65.47464184666525,46.22464184666526,19.25,18.0,0.05,0,0,2,38
66,1,right_lane,adaptive,True,3.1623,28,1,21.634224779959375,1.0,1.0,26.0,1.0,8.5,43.381925675684585,29.6319256756846,13.75,nan,0.0,0,0,0,28
67,1,right_lane,adaptive,True,3.1623,40,0,21.143957345971565,0.0,1.0,39.0,0.0,3.0,60.87939766843067,41.12939766843068,19.75,nan,0.0,0,0,0,40
68,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,4.0,36.0,1.5,13.5,61.07737406348487,41.82737406348487,19.25,18.0,0.05,0,0,2,38
69,1,right_lane,adaptive,True,3.1623,40,0,20.643957345971565,1.0,1.0,38.0,0.5,1.0,60.578398404339495,40.828398404339495,19.75,nan,0.0,0,0,0,40
70,1,right_lane,adaptive,True,3.1623,40,0,20.768957345971565,1.0,1.0,38.0,0.5,17.0,60.77839910880876,41.02839910880877,19.75,nan,0.0,0,0,0,40
71,1,right_lane,adaptive,True,3.1623,40,0,22.268957345971057,1.0,1.0,38.0,0.5,3.0,63.17839910886008,43.428399108860084,19.75,nan,0.0,0,0,0,40
72,1,right_lane,adaptive,True,3.1623,40,0,21.518957344482878,0.0,1.0,39.0,0.0,5.5,62.40306021557957,42.40306021557957,20.0,nan,0.0,0,0,0,40
73,1,right_lane,adaptive,True,3.1623,40,0,20.268957345971565,0.0,0.0,40.0,0.0,17.0,60.230331755622736,40.230331755622736,20.0,nan,0.0,0,0,0,40
74,1,right_lane,adaptive,True,3.1623,40,0,22.143957345971565,1.0,1.0,38.0,0.5,0.5,62.978398404341505,43.228398404341505,19.75,nan,0.0,0,0,0,40
75,1,right_lane,adaptive,True,3.1623,40,0,20.518957345971565,1.0,1.0,38.0,0.5,16.0,60.37839840304393,40.62839840304393,19.75,nan,0.0,0,0,0,40
76,1,right_lane,adaptive,True,3.1623,40,0,20.268957345971565,0.0,0.0,40.0,0.0,7.5,60.2303317535545,40.2303317535545,20.0,nan,0.0,0,0,0,40
77,1,right_lane,adaptive,True,3.1623,18,1,23.097682991039065,0.0,0.0,18.0,0.5,4.0,29.030331753548133,20.030331753548136,9.0,nan,0.0,0,0,0,18
78,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,1.0,39.0,0.0,3.5,61.07939766774115,41.32939766774114,19.75,nan,0.0,0,0,0,40
