episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
14,1,right_lane,nop,False,nan,26,1,22.33685745305057,1.3333333333333333,0.0,1.6877459574998284,38.33333333333333,26.0,12.333333333333332,nan,0.0,0,0,0,0,0.0,0.0,3.0,23.0
15,1,right_lane,nop,False,nan,40,0,20.518957345971565,36.666666666666664,0.0,35.04056894779205,42.0,40.0,2.0,nan,0.0,0,0,0,0,30.0,10.0,0.0,0.0
16,1,right_lane,nop,False,nan,40,0,22.12749644062177,38.666666666666664,0.0,37.258339643478394,40.666666666666664,40.0,0.6666666666666666,nan,0.0,0,0,0,0,35.0,5.0,0.0,0.0
17,1,right_lane,nop,False,nan,40,0,24.893585304489555,20.666666666666675,0.0,20.751789848785847,49.499999999999986,40.0,9.499999999999995,nan,0.0,0,0,0,0,12.0,8.0,11.0,9.0
18,1,right_lane,nop,False,nan,40,0,21.893957345938492,16.0,0.0,17.060404139570892,51.833333333333336,40.0,11.833333333333336,nan,0.0,0,0,0,0,2.0,16.0,9.0,13.0
19,1,right_lane,nop,False,nan,40,0,23.143957345971565,22.666666666666675,0.0,21.184486663667485,49.0,40.0,8.999999999999996,nan,0.0,0,0,0,0,12.0,6.0,17.0,5.0
20,1,right_lane,nop,False,nan,40,0,23.39395734425711,23.666666666666654,0.0,24.04125928133726,47.83333333333335,40.0,7.833333333333331,nan,0.0,0,0,0,0,10.0,17.0,8.0,5.0
21,1,right_lane,nop,False,nan,40,0,21.393957345971565,34.333333333333336,0.0,34.516636073589325,42.999999999999986,40.0,2.999999999999999,nan,0.0,0,0,0,0,24.0,16.0,0.0,0.0
22,1,right_lane,nop,False,nan,40,0,22.76895734594177,19.333333333333325,0.0,19.84389821656032,50.16666666666668,40.0,10.166666666666666,nan,0.0,0,0,0,0,10.0,11.0,8.0,11.0
23,1,right_lane,nop,False,nan,40,0,20.643957345971565,30.666666666666664,0.0,29.250473737716675,45.00000000000001,40.0,5.0,nan,0.0,0,0,0,0,11.0,28.0,1.0,0.0
24,1,right_lane,nop,False,nan,40,0,21.518957345971565,20.666666666666647,0.0,19.953475534915924,49.333333333333364,40.0,9.33333333333333,nan,0.0,0,0,0,0,5.0,15.0,17.0,3.0
25,1,right_lane,nop,False,nan,4,1,25.0,1.3333333333333333,0.0,1.1795897632837296,5.333333333333333,4.0,1.3333333333333333,nan,0.0,0,0,0,0,0.0,1.0,1.0,2.0
26,1,right_lane,nop,False,nan,40,0,20.893957345971565,20.0,0.0,21.124272614717484,50.16666666666663,40.0,10.166666666666659,nan,0.0,0,0,0,0,0.0,21.0,16.0,3.0
27,1,right_lane,nop,False,nan,40,0,23.51895239570511,28.000000000000014,0.0,28.926222801208496,45.999999999999986,40.0,6.000000000000002,nan,0.0,0,0,0,0,5.0,33.0,2.0,0.0
28,1,right_lane,nop,False,nan,40,0,21.518957345971565,11.66666666666667,0.0,9.880447443886169,54.00000000000003,40.0,14.000000000000007,nan,0.0,0,0,0,0,0.0,0.0,34.0,6.0
29,1,right_lane,nop,False,nan,40,0,21.768957345971565,16.666666666666664,0.0,17.559754073619843,51.66666666666667,40.0,11.666666666666664,nan,0.0,0,0,0,0,1.0,17.0,14.0,8.0
