episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
53,1,right_lane,fixed,True,1.0,40,0,21.999956709840507,3.9999999999999996,10.333333333333334,7.923549547791481,57.666666666666664,40.0,17.666666666666664,nan,0.0,0,0,40,0,0.0,5.0,2.0,33.0
54,1,right_lane,fixed,True,1.0,40,0,20.643956596934782,0.0,13.000000000000005,5.174444418400526,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
55,1,right_lane,fixed,True,1.0,40,0,21.393956595224235,1.0,10.333333333333334,5.01321741938591,59.5,40.0,19.5,nan,0.0,0,0,40,0,1.0,1.0,1.0,37.0
56,1,right_lane,fixed,True,1.0,40,0,23.391460905353707,10.999999999999996,4.333333333333333,13.353612886217888,54.833333333333336,40.0,14.833333333333334,nan,0.0,0,0,40,0,5.0,7.0,5.0,23.0
57,1,right_lane,fixed,True,1.0,40,0,21.143957345971565,0.3333333333333333,11.333333333333336,4.993383798748255,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,0.0,2.0,38.0
58,1,right_lane,fixed,True,1.0,40,0,20.268957345971565,0.0,13.000000000000005,3.854572683572769,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
59,1,right_lane,fixed,True,1.0,40,0,21.000000750751244,0.3333333333333333,5.666666666666665,4.147263195365667,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,1.0,1.0,38.0
60,1,right_lane,fixed,True,1.0,40,0,20.268957345971565,3.0,12.000000000000004,7.271025195717812,58.5,40.0,18.5,nan,0.0,0,0,40,0,0.0,3.0,5.0,32.0
61,1,right_lane,fixed,True,1.0,40,0,22.518957344035254,9.666666666666668,7.9999999999999964,12.07996186130913,55.166666666666664,40.0,15.166666666666666,nan,0.0,0,0,40,0,6.0,6.0,1.0,27.0
62,1,right_lane,fixed,True,1.0,40,0,22.26895734574631,1.0,11.000000000000002,6.094957992783748,59.5,40.0,19.5,nan,0.0,0,0,40,0,1.0,1.0,1.0,37.0
63,1,right_lane,fixed,True,1.0,40,0,21.64150419744952,14.000000000000002,3.0,15.99028267385438,53.00000000000001,40.0,12.999999999999996,nan,0.0,0,0,40,0,9.0,5.0,8.0,18.0
64,1,right_lane,fixed,True,1.0,40,0,20.268957345971565,0.0,10.333333333333334,4.716950312256813,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
65,1,right_lane,fixed,True,1.0,40,0,20.518957345971565,0.0,12.666666666666671,4.7656150087714195,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
66,1,right_lane,fixed,True,1.0,40,0,21.768957334666847,29.33333333333335,0.0,31.036760091781616,45.66666666666665,40.0,5.666666666666668,nan,0.0,0,0,40,0,9.0,31.0,0.0,0.0
67,1,right_lane,fixed,True,1.0,40,0,23.143957345971565,33.33333333333333,2.0,32.98028215765953,43.33333333333333,40.0,3.333333333333332,nan,0.0,0,0,40,0,26.0,8.0,6.0,0.0
68,1,right_lane,fixed,True,1.0,40,0,23.622503574111864,39.66666666666667,0.0,39.116387724876404,40.333333333333336,40.0,0.3333333333333333,nan,0.0,0,0,40,0,38.0,2.0,0.0,0.0
69,1,right_lane,fixed,True,1.0,40,0,21.143957345971565,14.333333333333341,7.9999999999999964,16.82668775320053,52.50000000000003,40.0,12.500000000000005,nan,0.0,0,0,40,0,1.0,2.0,37.0,0.0
70,1,right_lane,fixed,True,1.0,40,0,22.483867844032495,39.33333333333333,0.0,39.21629583835602,40.5,40.0,0.5,nan,0.0,0,0,40,0,39.0,1.0,0.0,0.0
71,1,right_lane,fixed,True,1.0,40,0,21.268957345971565,3.3333333333333335,11.000000000000002,7.140702379052527,58.0,40.0,18.0,nan,0.0,0,0,40,0,2.0,1.0,5.0,32.0
72,1,right_lane,fixed,True,1.0,40,0,21.14178964193861,0.0,13.666666666666673,4.336481496691704,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
73,1,right_lane,fixed,True,1.0,40,0,20.518957345971565,0.0,4.0,1.713083262152395,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
74,1,right_lane,fixed,True,1.0,40,0,22.000000750751234,31.66666666666668,0.3333333333333333,32.77665860950947,44.333333333333336,40.0,4.333333333333333,nan,0.0,0,0,40,0,22.0,14.0,3.0,1.0
75,1,right_lane,fixed,True,1.0,40,0,24.143957345971565,10.0,6.666666666666664,12.708450202742824,54.83333333333333,40.0,14.833333333333332,nan,0.0,0,0,40,0,9.0,2.0,2.0,27.0
76,1,right_lane,fixed,True,1.0,40,0,21.393957345970982,0.0,4.666666666666666,2.462398283445509,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
77,1,right_lane,fixed,True,1.0,40,0,22.518957345971565,2.3333333333333335,0.6666666666666666,3.6267202470917255,58.833333333333336,40.0,18.833333333333332,nan,0.0,0,0,40,0,0.0,2.0,3.0,35.0
78,1,right_lane,fixed,True,1.0,40,0,21.268957345971565,0.3333333333333333,7.33333333333333,3.7153946397593245,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,0.0,2.0,38.0
79,1,right_lane,fixed,True,1.0,40,0,22.3939573459715,26.33333333333334,3.0,27.621477127075195,46.83333333333335,40.0,6.833333333333334,nan,0.0,0,0,40,0,21.0,8.0,3.0,8.0
80,1,right_lane,fixed,True,1.0,40,0,22.2689573457458,0.0,8.33333333333333,3.572834280785173,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
81,1,right_lane,fixed,True,1.0,40,0,21.018957345971565,0.3333333333333333,11.000000000000002,3.9240808226168156,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,0.0,2.0,38.0
82,1,right_lane,fixed,True,1.0,40,0,21.268957345971565,0.0,1.6666666666666665,1.0098524072382133,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
83,1,right_lane,fixed,True,1.0,40,0,21.393957345971565,0.3333333333333333,1.3333333333333333,1.971637413254939,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,1.0,1.0,38.0
84,1,right_lane,fixed,True,1.0,40,0,20.75249644062177,0.0,8.666666666666664,3.9821222125319764,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
85,1,right_lane,fixed,True,1.0,40,0,21.018957345971565,2.333333333333333,9.666666666666666,5.564608305692673,58.83333333333333,40.0,18.833333333333332,nan,0.0,0,0,40,0,0.0,1.0,5.0,34.0
86,1,right_lane,fixed,True,1.0,40,0,20.893957345971117,0.0,13.33333333333334,4.087928451597691,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
87,1,right_lane,fixed,True,1.0,40,0,20.768957345971565,1.3333333333333333,12.333333333333337,5.982714653015137,59.333333333333336,40.0,19.333333333333332,nan,0.0,0,0,40,0,1.0,1.0,2.0,36.0
88,1,right_lane,fixed,True,1.0,40,0,21.01895658414138,3.0,8.33333333333333,6.556692925980315,58.50000000000002,40.0,18.500000000000004,nan,0.0,0,0,40,0,0.0,0.0,10.0,30.0
89,1,right_lane,fixed,True,1.0,40,0,21.268957345971565,18.0,4.333333333333333,20.415048852562904,51.0,40.0,11.0,nan,0.0,0,0,40,0,16.0,4.0,1.0,19.0
90,1,right_lane,fixed,True,1.0,40,0,21.268957345971565,1.3333333333333333,11.000000000000002,5.662710255244747,59.33333333333333,40.0,19.333333333333332,nan,0.0,0,0,40,0,0.0,2.0,2.0,36.0
91,1,right_lane,fixed,True,1.0,40,0,22.893957344227374,1.3333333333333333,7.999999999999997,4.791574152040994,59.333333333333336,40.0,19.333333333333332,nan,0.0,0,0,40,0,0.0,0.0,4.0,36.0
92,1,right_lane,fixed,True,1.0,40,0,22.12749644062177,16.333333333333332,6.666666666666664,19.39068679884076,51.83333333333333,40.0,11.833333333333332,nan,0.0,0,0,40,0,13.0,6.0,1.0,20.0
93,1,right_lane,fixed,True,1.0,40,0,20.518957345971565,0.0,8.999999999999998,3.500450477004051,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
94,1,right_lane,fixed,True,1.0,40,0,23.14395099329321,9.666666666666666,0.0,11.025715021591168,55.16666666666667,40.0,15.166666666666666,nan,0.0,0,0,40,0,7.0,3.0,3.0,27.0
95,1,right_lane,fixed,True,1.0,40,0,20.893957345971494,0.6666666666666666,8.666666666666664,4.370156312244944,59.666666666666664,40.0,19.666666666666664,nan,0.0,0,0,40,0,0.0,1.0,2.0,37.0
96,1,right_lane,fixed,True,1.0,40,0,21.2689566082395,2.333333333333333,1.6666666666666665,4.641519764554687,58.83333333333333,40.0,18.833333333333332,nan,0.0,0,0,40,0,1.0,1.0,5.0,33.0
97,1,right_lane,fixed,True,1.0,40,0,23.893957345971565,1.0,4.999999999999999,4.119638208154356,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,1.0,3.0,36.0
