episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time
74,1,merge_courtesy,adaptive,True,0.05,12,0,29.638203017832648,0.0,2.2690173789316375,0.6277396082878113,17.025629278488406,17.025629278488406,0.0,18.0,1.0,7,0,5,0,8.0,4.0
75,1,merge_courtesy,adaptive,True,0.05,12,0,29.166808471161616,0.0,0.8061208362477159,0.6289624273777008,17.149116857720635,17.149116857720635,0.0,18.0,1.0,9,0,3,0,4.0,8.0
76,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.277892534904855,0.7780419513583183,17.199291829928736,17.199291829928736,0.0,18.0,1.0,6,0,6,0,8.0,4.0
77,1,merge_courtesy,adaptive,True,0.05,12,0,29.2224878754412,0.0,0.9155769871557402,0.2938597872853279,16.826086010140507,16.826086010140507,0.0,18.0,1.0,9,0,3,0,8.0,4.0
78,1,merge_courtesy,adaptive,True,0.05,12,0,29.22876198863091,0.0,2.869150820449477,0.7284175753593445,16.72909758447157,16.72909758447157,0.0,18.0,1.0,6,0,6,0,9.0,3.0
79,1,merge_courtesy,adaptive,True,0.05,13,0,27.80128461713882,0.0,0.0,0.0,18.206668000912188,18.206668000912188,0.0,nan,0.0,13,0,0,0,0.0,13.0
80,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,1.7805622210740584,0.7865528613328934,17.099291829928735,17.099291829928735,0.0,18.0,1.0,5,0,7,0,9.0,3.0
81,1,merge_courtesy,adaptive,True,0.05,12,0,29.166669125773563,0.0,0.8848437494863894,0.6993672661483288,16.99904997193437,16.99904997193437,0.0,18.0,1.0,6,0,6,0,6.0,6.0
82,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.2493635416521904,0.7374777421355247,17.199291829928736,17.199291829928736,0.0,18.0,1.0,6,0,6,0,8.0,4.0
83,1,merge_courtesy,adaptive,True,0.05,14,0,25.822611223350602,0.0,0.0,0.0,18.46066228507634,18.46066228507634,0.0,nan,0.0,14,0,0,0,0.0,14.0
84,1,merge_courtesy,adaptive,True,0.05,14,0,24.751184792027125,0.0,3.0689981381398224,2.1753955259919167,17.860663483535188,17.860663483535188,0.0,18.0,1.0,8,0,6,0,0.0,14.0
85,1,merge_courtesy,adaptive,True,0.05,13,0,27.693449821127423,0.8940623733266458,1.549578913401398,1.7552062720060349,18.10059390698626,18.10059390698626,0.0,18.0,1.0,9,0,4,0,0.0,13.0
86,1,merge_courtesy,adaptive,True,0.05,13,0,26.655102277460422,0.0,0.0,0.0,17.61065318427942,17.61065318427942,0.0,nan,0.0,13,0,0,0,0.0,13.0
87,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,1.6821340571783758,0.3981058709323406,17.199291829928736,17.199291829928736,0.0,18.0,1.0,7,0,5,0,8.0,4.0
88,1,merge_courtesy,adaptive,True,0.05,13,0,28.135251062216373,0.0,0.20761096815732843,0.13376186788082123,18.17867049168582,18.17867049168582,0.0,18.0,1.0,12,0,1,0,3.0,10.0
89,1,merge_courtesy,adaptive,True,0.05,13,0,27.42333905172183,0.0,0.0,0.0,18.010136306895355,18.010136306895355,0.0,nan,0.0,13,0,0,0,0.0,13.0
90,1,merge_courtesy,adaptive,True,0.05,12,0,28.813046846239462,0.0,0.0,0.0,17.28026248619494,17.28026248619494,0.0,nan,0.0,12,0,0,0,0.0,12.0
91,1,merge_courtesy,adaptive,True,0.05,13,0,26.655102277460422,0.0,0.0,0.0,17.61065318427942,17.61065318427942,0.0,nan,0.0,13,0,0,0,0.0,13.0
92,1,merge_courtesy,adaptive,True,0.05,13,0,27.366022562930425,0.0,0.18300180320671813,0.11992578208446503,17.930331732723822,17.930331732723822,0.0,18.0,1.0,12,0,1,0,0.0,13.0
93,1,merge_courtesy,adaptive,True,0.05,13,0,26.654971679926327,0.0,0.6121405892697117,0.38343803957104683,17.059634065124747,17.059634065124747,0.0,18.0,1.0,9,0,4,0,7.0,6.0
94,1,merge_courtesy,adaptive,True,0.05,12,0,28.813046846239462,0.0,0.55819386605281,0.21879088133573532,16.729554316123675,16.729554316123675,0.0,18.0,1.0,10,0,2,0,7.0,5.0
95,1,merge_courtesy,adaptive,True,0.05,13,0,26.655102277460422,0.0,0.0,0.0,17.61065318427942,17.61065318427942,0.0,nan,0.0,13,0,0,0,0.0,13.0
96,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.0227923721144103,0.5473902802914381,17.199291829928736,17.199291829928736,0.0,18.0,1.0,6,0,5,1,8.0,4.0
97,1,merge_courtesy,adaptive,True,0.05,13,0,27.80783877146805,0.0,0.6633019226480912,0.5690270587801933,17.35936799109212,17.35936799109212,0.0,18.0,1.0,8,0,5,0,10.0,3.0
98,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.2991806616299817,0.7676145136356354,17.199291829928736,17.199291829928736,0.0,18.0,1.0,6,0,6,0,8.0,4.0
99,1,merge_courtesy,adaptive,True,0.05,13,0,28.135251062216373,0.0,0.0,0.0,18.38033055235252,18.38033055235252,0.0,nan,0.0,13,0,0,0,0.0,13.0
