episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time,lane_4_time,lane_5_time
48,1,right_lane,nop,False,nan,40,0,25.641461656101036,21.0,0.0,21.021428368765555,58.823514341578914,48.823514341578914,10.0,nan,0.0,0,0,0,0,18.0,6.0,16.0,0.0,0.0,0.0
49,1,right_lane,nop,False,nan,40,0,22.768914804623083,23.0,0.0,22.72760472819209,52.48124551757306,44.23124551757306,8.25,nan,0.0,0,0,0,0,17.0,12.0,11.0,0.0,0.0,0.0
50,1,right_lane,nop,False,nan,40,0,22.768957345971565,30.5,0.0,27.90587751711837,49.22760331326627,44.22760331326627,5.0,nan,0.0,0,0,0,0,27.0,5.0,8.0,0.0,0.0,0.0
51,1,right_lane,nop,False,nan,40,0,23.893957345971565,11.5,0.0,12.968340747058392,59.77704476578495,46.027044765784964,13.75,nan,0.0,0,0,0,0,8.0,7.0,25.0,0.0,0.0,0.0
52,1,right_lane,nop,False,nan,40,0,21.768957345971565,6.5,0.0,8.731887143105268,59.62889429146351,42.62889429146351,17.0,nan,0.0,0,0,0,0,4.0,6.0,30.0,0.0,0.0,0.0
53,1,right_lane,nop,False,nan,40,0,21.51895734597105,33.0,0.0,30.129617661237717,45.978865471820384,42.228865471820384,3.75,nan,0.0,0,0,0,0,30.0,4.0,6.0,0.0,0.0,0.0
54,1,right_lane,nop,False,nan,40,0,22.393957345971565,25.5,0.0,23.36320911107009,50.87820672784478,43.62820672784478,7.25,nan,0.0,0,0,0,0,18.0,13.0,9.0,0.0,0.0,0.0
55,1,right_lane,nop,False,nan,40,0,22.893957345971565,24.0,0.0,23.42499737273829,51.9267514889048,44.4267514889048,7.5,nan,0.0,0,0,0,0,23.0,4.0,13.0,0.0,0.0,0.0
56,1,right_lane,nop,False,nan,40,0,22.643957345971565,17.0,0.0,17.988932647806905,55.77846193011974,44.02846193011974,11.75,nan,0.0,0,0,0,0,10.0,15.0,15.0,0.0,0.0,0.0
57,1,right_lane,nop,False,nan,40,0,20.768957345971565,6.0,0.0,8.11270209774375,58.02839710785258,41.02839710785258,17.0,nan,0.0,0,0,0,0,0.0,12.0,28.0,0.0,0.0,0.0
58,1,right_lane,nop,False,nan,40,0,20.393957345971565,0.0,0.0,3.847062051296234,60.180331753554505,40.430331753554505,19.75,nan,0.0,0,0,0,0,0.0,0.0,40.0,0.0,0.0,0.0
59,1,right_lane,nop,False,nan,11,1,24.614387259584337,11.0,0.0,10.761364996433258,13.330330394217107,12.830330394217107,0.5,nan,0.0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0
60,1,right_lane,nop,False,nan,40,0,23.268957345971565,9.5,0.0,11.856239095330238,59.27588243934815,44.525882439348166,14.75,nan,0.0,0,0,0,0,7.0,6.0,27.0,0.0,0.0,0.0
61,1,right_lane,nop,False,nan,40,0,22.768957345971565,15.0,0.0,16.140901145059615,56.72963543397625,44.22963543397625,12.5,nan,0.0,0,0,0,0,14.0,3.0,23.0,0.0,0.0,0.0
62,1,right_lane,nop,False,nan,40,0,23.018957345971565,35.0,0.0,33.107611894607544,47.128690413499186,44.62869041349919,2.5,nan,0.0,0,0,0,0,32.0,8.0,0.0,0.0,0.0,0.0
63,1,right_lane,nop,False,nan,40,0,22.018957345971565,23.0,0.0,23.981896996498108,51.52898849099734,43.028988490997335,8.5,nan,0.0,0,0,0,0,10.0,28.0,2.0,0.0,0.0,0.0
64,1,right_lane,nop,False,nan,40,0,21.89395724713693,27.5,0.0,25.65166685665463,49.57941546644819,42.8294154664482,6.75,nan,0.0,0,0,0,0,25.0,3.0,12.0,0.0,0.0,0.0
65,1,right_lane,nop,False,nan,40,0,23.143957345971565,25.5,0.0,23.61772663509555,52.07753775927818,44.82753775927819,7.25,nan,0.0,0,0,0,0,24.0,2.0,14.0,0.0,0.0,0.0
66,1,right_lane,nop,False,nan,40,0,22.018957345971565,18.0,0.0,18.66661959141493,54.02626293495667,43.02626293495667,11.0,nan,0.0,0,0,0,0,12.0,12.0,16.0,0.0,0.0,0.0
67,1,right_lane,nop,False,nan,40,0,24.26895734597155,31.0,0.0,29.29046729952097,51.12449269110794,46.62449269110793,4.5,nan,0.0,0,0,0,0,28.0,5.0,7.0,0.0,0.0,0.0
68,1,right_lane,nop,False,nan,40,0,24.143957345971565,25.0,0.0,24.847787514328957,53.675176524996346,46.42517652499636,7.25,nan,0.0,0,0,0,0,12.0,26.0,2.0,0.0,0.0,0.0
69,1,right_lane,nop,False,nan,40,0,20.393957345971565,12.5,0.0,14.078984878957272,54.177545470568646,40.42754547056864,13.75,nan,0.0,0,0,0,0,3.0,20.0,17.0,0.0,0.0,0.0
70,1,right_lane,nop,False,nan,40,0,22.393957345745726,21.5,0.0,21.776559717953205,52.87518791926585,43.62518791926585,9.25,nan,0.0,0,0,0,0,9.0,26.0,5.0,0.0,0.0,0.0
71,1,right_lane,nop,False,nan,40,0,22.50249644062177,12.0,0.0,13.605221491099655,57.55001077175851,43.80001077175852,13.75,nan,0.0,0,0,0,0,6.0,14.0,20.0,0.0,0.0,0.0
72,1,right_lane,nop,False,nan,40,0,24.375005701017248,38.0,0.0,36.431412041187286,48.24355581022027,46.99355581022027,1.25,nan,0.0,0,0,0,0,36.0,4.0,0.0,0.0,0.0,0.0
73,1,right_lane,nop,False,nan,40,0,21.643957345971565,29.0,0.0,28.57392917200923,47.87745760258482,42.62745760258482,5.25,nan,0.0,0,0,0,0,28.0,2.0,10.0,0.0,0.0,0.0
74,1,right_lane,nop,False,nan,40,0,21.768957345971565,4.0,0.0,6.373009957707836,60.62714366876723,42.62714366876724,18.0,nan,0.0,0,0,0,0,4.0,2.0,34.0,0.0,0.0,0.0
75,1,right_lane,nop,False,nan,40,0,23.893957345971565,33.0,0.0,31.346867829561234,50.02939848623349,46.02939848623348,4.0,nan,0.0,0,0,0,0,26.0,14.0,0.0,0.0,0.0,0.0
76,1,right_lane,nop,False,nan,40,0,22.106049105796927,34.5,0.0,33.39821116626263,45.41703749525002,43.16703749525002,2.25,nan,0.0,0,0,0,0,31.0,7.0,2.0,0.0,0.0,0.0
77,1,right_lane,nop,False,nan,40,0,22.393957345971565,26.5,0.0,24.593657547326075,51.279549995016495,44.02954999501649,7.25,nan,0.0,0,0,0,0,21.0,9.0,10.0,0.0,0.0,0.0
78,1,right_lane,nop,False,nan,40,0,21.518957345971565,28.0,0.0,25.75902708103422,48.22865712959687,42.22865712959686,6.0,nan,0.0,0,0,0,0,24.0,7.0,9.0,0.0,0.0,0.0
79,1,right_lane,nop,False,nan,40,0,23.75000570101725,25.5,0.0,24.73134992505038,52.54599974998916,45.79599974998916,6.75,nan,0.0,0,0,0,0,24.0,5.0,11.0,0.0,0.0,0.0
80,1,right_lane,nop,False,nan,40,0,24.62749644062176,21.0,0.0,19.089762511136087,57.40092960707619,47.40092960707618,10.0,nan,0.0,0,0,0,0,17.0,6.0,17.0,0.0,0.0,0.0
81,1,right_lane,nop,False,nan,40,0,21.891461656101036,6.5,0.0,8.689648795872927,59.52059347916507,43.02059347916508,16.5,nan,0.0,0,0,0,0,3.0,7.0,30.0,0.0,0.0,0.0
82,1,right_lane,nop,False,nan,40,0,24.000000013019175,12.5,0.0,13.012048981181579,60.1963114707842,46.19631147078421,14.0,nan,0.0,0,0,0,0,10.0,3.0,27.0,0.0,0.0,0.0
