episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
121,1,right_lane,naive,nan,40,0,21.768957345971565,1.0,1.0,38.0,0.5,4.5,62.378399108861,42.628399108861004,19.75,nan,0.0,0,40,0,0
122,1,right_lane,naive,nan,40,0,21.268957345971565,0.0,0.0,40.0,0.0,0.0,61.8303317535545,41.830331753554496,20.0,nan,0.0,0,40,0,0
123,1,right_lane,naive,nan,40,0,22.518957345971565,3.0,2.0,35.0,3.0,4.5,62.32891743791032,43.82891743791032,18.5,nan,0.0,0,40,0,0
124,1,right_lane,naive,nan,40,0,24.893585304715835,36.0,4.0,0.0,38.0,0.0,49.12809752801491,47.62809752801491,1.5,nan,0.0,0,40,0,0
125,1,right_lane,naive,nan,40,0,22.002496438936525,0.0,0.0,40.0,0.0,4.5,62.50451117936811,43.00451117936812,19.5,nan,0.0,0,40,0,0
126,1,right_lane,naive,nan,40,0,21.018957344257622,0.0,0.0,40.0,0.0,3.5,61.453200895730006,41.45320089573,20.0,nan,0.0,0,40,0,0
127,1,right_lane,naive,nan,40,0,21.018957345971565,0.0,1.0,39.0,0.0,18.0,61.42939833206728,41.42939833206728,20.0,nan,0.0,0,40,0,0
128,1,right_lane,naive,nan,17,1,24.750487838206908,1.0,1.0,15.0,1.0,3.0,28.278399085287095,20.028399085287095,8.25,nan,0.0,0,17,0,0
129,1,right_lane,naive,nan,40,0,23.76895734594235,0.0,1.0,39.0,0.0,12.0,65.07939832963936,45.329398329639346,19.75,nan,0.0,0,40,0,0
130,1,right_lane,naive,nan,40,0,21.518957345971565,0.0,0.0,40.0,0.0,9.5,62.23033175359509,42.230331753595095,20.0,nan,0.0,0,40,0,0
131,1,right_lane,naive,nan,40,0,21.768957345971565,0.0,1.0,39.0,0.0,0.5,62.62939832968611,42.6293983296861,20.0,nan,0.0,0,40,0,0
132,1,right_lane,naive,nan,40,0,21.250043292099726,0.0,1.0,39.0,0.0,14.5,61.799135182235744,41.79913518223574,20.0,nan,0.0,0,40,0,0
133,1,right_lane,naive,nan,40,0,21.018957345971554,0.0,1.0,39.0,0.0,2.5,61.455674969348124,41.455674969348124,20.0,nan,0.0,0,40,0,0
134,1,right_lane,naive,nan,40,0,20.393957345971565,0.0,0.0,40.0,0.0,20.0,60.43033175355452,40.43033175355452,20.0,nan,0.0,0,40,0,0
135,1,right_lane,naive,nan,40,0,21.518957345971565,0.0,0.0,40.0,0.0,15.5,62.2303317535545,42.230331753554495,20.0,nan,0.0,0,40,0,0
136,1,right_lane,naive,nan,40,0,20.768957345971565,0.0,1.0,39.0,0.0,0.5,61.02939766774115,41.02939766774115,20.0,nan,0.0,0,40,0,0
137,1,right_lane,naive,nan,32,1,22.679946558601884,11.0,5.0,16.0,14.0,6.0,44.728688901199384,35.22868890119939,9.5,nan,0.0,0,32,0,0
138,1,right_lane,naive,nan,40,0,21.143957345971565,0.0,1.0,39.0,0.0,1.0,60.62939780540768,41.129397805407685,19.5,nan,0.0,0,40,0,0
139,1,right_lane,naive,nan,40,0,21.893957345971565,6.0,1.0,33.0,5.5,2.0,60.07847407395942,42.828474073959434,17.25,nan,0.0,0,40,0,0
140,1,right_lane,naive,nan,40,0,23.018957345971565,9.0,2.0,29.0,9.5,12.0,59.877960287330666,44.62796028733066,15.25,nan,0.0,0,40,0,0
141,1,right_lane,naive,nan,40,0,22.768634297606514,0.0,1.0,39.0,0.0,1.5,64.22888145230203,44.22888145230203,20.0,nan,0.0,0,40,0,0
142,1,right_lane,naive,nan,40,0,22.627496440621705,28.0,2.0,10.0,29.5,3.0,49.75350606675761,44.003506066757595,5.75,nan,0.0,0,40,0,0
143,1,right_lane,naive,nan,40,0,23.143623745187625,9.0,4.0,27.0,10.5,2.5,59.27346295575804,45.023462955758035,14.25,nan,0.0,0,40,0,0
144,1,right_lane,naive,nan,40,0,21.143957345971565,0.0,0.0,40.0,0.0,13.5,61.6307952252609,41.630795225260904,20.0,nan,0.0,0,40,0,0
