episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
65,1,right_lane,adaptive,0.0316,40,0,24.01641846286567,0.0,4.0,36.0,1.5,9.5,65.47464184666525,46.22464184666526,19.25,18.0,0.9,0,0,36,4
66,1,right_lane,adaptive,0.0316,28,1,21.634224779959375,1.0,1.0,26.0,1.0,8.5,43.381925675684585,29.6319256756846,13.75,18.0,0.8928571428571429,0,0,25,3
67,1,right_lane,adaptive,0.0316,40,0,21.143957345971565,0.0,1.0,39.0,0.0,3.0,60.87939766843067,41.12939766843068,19.75,18.0,1.0,0,0,40,0
68,1,right_lane,adaptive,0.0316,40,0,21.893957345971565,4.0,10.0,26.0,8.5,18.0,58.57892197078475,42.82892197078474,15.75,18.0,1.0,0,0,40,0
69,1,right_lane,adaptive,0.0316,40,0,20.643957345971565,1.0,1.0,38.0,0.5,1.0,60.578398404339495,40.828398404339495,19.75,18.0,1.0,0,0,40,0
70,1,right_lane,adaptive,0.0316,40,0,20.768957345971565,1.0,1.0,38.0,0.5,17.0,60.77839910880876,41.02839910880877,19.75,18.0,1.0,0,0,40,0
71,1,right_lane,adaptive,0.0316,40,0,22.268957345971057,1.0,1.0,38.0,0.5,3.0,63.17839910886008,43.428399108860084,19.75,18.0,0.975,0,0,39,1
72,1,right_lane,adaptive,0.0316,40,0,21.518957344482878,0.0,1.0,39.0,0.0,5.5,62.40306021557957,42.40306021557957,20.0,18.0,0.95,0,0,38,2
73,1,right_lane,adaptive,0.0316,40,0,20.268957345971565,0.0,0.0,40.0,0.0,17.0,60.230331755622736,40.230331755622736,20.0,18.0,1.0,0,0,40,0
74,1,right_lane,adaptive,0.0316,40,0,22.143957345971565,1.0,1.0,38.0,0.5,0.5,62.978398404341505,43.228398404341505,19.75,18.0,0.2,0,0,8,32
